"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000079658",4749.05245462183,0.540902231444425,0.0211319264998588,0,1,1
"ENSMUSG00000026342",2660.11822215134,-0.415429398035423,0.0291306957499655,0,1,1
"ENSMUSG00000025940",3994.05452882437,0.134857435911068,0.0230469357396139,0,1,1
"ENSMUSG00000026343",91.2430312476228,1.74985306467276,0.170326485940073,4.40244545957806,1.07037502939299e-05,8.3789691493142e-05
"ENSMUSG00000025779",211.106106364858,-1.04031113715745,0.111527462355705,-0.361445838594277,0.717766186514459,1
"ENSMUSG00000100093",77.0065142085719,0.10604873557508,0.166102175249656,0,1,1
"ENSMUSG00000091020",989.566198782029,-0.232879496278476,0.0470900725931732,0,1,1
"ENSMUSG00000042686",406.856635598036,-0.499764687783553,0.0750690084787721,0,1,1
"ENSMUSG00000100398",65.0141692065398,0.729161357617,0.181785445058984,0,1,1
"ENSMUSG00000101589",1334.50478031532,-0.344357773941498,0.0408838931474381,0,1,1
"ENSMUSG00000042807",204.528454977716,-0.550005908256964,0.106409692894396,0,1,1
"ENSMUSG00000067780",32.1381407231759,-2.21280621092553,0.362165957884955,-3.34875817155291,0.00081174613611443,0.00552426842808043
"ENSMUSG00000100554",221.552518181551,-0.3120109236816,0.10008659976418,0,1,1
"ENSMUSG00000099591",75.1148088281846,2.2536733759134,0.205317169960573,6.10603280843072,1.02138021295262e-09,1.01885466095969e-08
"ENSMUSG00000025983",66.8686713688882,-0.316642322803585,0.182245311634312,0,1,1
"ENSMUSG00000041303",1966.43692232941,-0.271831365306183,0.0334956291440189,0,1,1
"ENSMUSG00000049690",251.042785460045,-2.02841961535822,0.124010860516677,-8.29298023635531,1.10445697486422e-16,1.47831906967358e-15
"ENSMUSG00000101685",472.383027566061,1.17774183284619,0.069631908903956,2.55259170176348,0.0106924758335301,0.0664335165774524
"ENSMUSG00000101644",38.4370892799394,0.644883548627158,0.235612091223646,0,1,1
"ENSMUSG00000022995",413.830651321433,0.485515333480357,0.071504581528082,0,1,1
"ENSMUSG00000100720",619.999529305317,0.925389116663079,0.0595284439168045,0,1,1
"ENSMUSG00000073678",442.183578203189,-0.21487170773538,0.0703609690196638,0,1,1
"ENSMUSG00000101130",38.4370892799394,0.644883548627158,0.235612091223646,0,1,1
"ENSMUSG00000026511",950.471680029738,0.347754574869606,0.0471243964151615,0,1,1
"ENSMUSG00000036155",3314.33605934088,-0.359757423546434,0.025975125143117,0,1,1
"ENSMUSG00000038633",7024.04902515141,0.322610255678982,0.0173357658096207,0,1,1
"ENSMUSG00000099471",3590.58790320232,0.448164565333744,0.0242621276706657,0,1,1
"ENSMUSG00000026594",3024.14559254804,0.619422549634668,0.02653985962174,0,1,1
"ENSMUSG00000100204",1293.21539644756,1.34673300003032,0.0428421517438834,8.09326763284759,5.80850467550933e-16,7.56457436982435e-15
"ENSMUSG00000047539",3647.30121878607,-0.475608478990715,0.0250148448038,0,1,1
"ENSMUSG00000102014",26.7210014178166,-0.0117876743697873,0.283133856739258,0,1,1
"ENSMUSG00000026510",1861.56292615423,-0.325466247734199,0.0345643466738334,0,1,1
"ENSMUSG00000090142",32.9364033864489,3.23794630247636,0.39016370851123,5.7359161133049,9.69866591523893e-09,9.18355663928219e-08
"ENSMUSG00000026349",3406.82443447807,-0.693964884136213,0.0264898848787292,0,1,1
"ENSMUSG00000052331",3942.75203233088,-0.934971212653716,0.025409081316726,0,1,1
"ENSMUSG00000026234",43473.2295542308,1.04805950020774,0.00717631926825405,6.69695681187732,2.12804478775891e-11,2.26751799344311e-10
"ENSMUSG00000073627",110.697282578671,0.253213255527778,0.138148258888206,0,1,1
"ENSMUSG00000026509",18528.6714573109,0.355342136784588,0.0106741853406468,0,1,1
"ENSMUSG00000041859",16718.1277018022,1.14211403081481,0.0116662619157153,12.1816252576475,3.89442943283754e-34,8.48701851399909e-33
"ENSMUSG00000025982",16622.4722487682,0.0213007835985435,0.011337949630962,0,1,1
"ENSMUSG00000103030",28.9212757752128,-0.752741336496481,0.289551923658022,0,1,1
"ENSMUSG00000026238",41526.0600243209,0.0618088787459312,0.0071639356082309,0,1,1
"ENSMUSG00000025931",267.794840295085,0.173299930836762,0.0889284400938893,0,1,1
"ENSMUSG00000041809",137.504276275089,-0.635171873377494,0.13096662284077,0,1,1
"ENSMUSG00000026239",3560.31224432272,0.170142897841277,0.0243911530105628,0,1,1
"ENSMUSG00000025981",1538.86549950695,0.0252977152319561,0.0372550275272343,0,1,1
"ENSMUSG00000101122",36.3203615106744,1.5860604754461,0.263532024717263,2.22386814685945,0.0261573167382579,0.154127368701956
"ENSMUSG00000041779",1893.73453918532,0.336732270688219,0.0333854735777026,0,1,1
"ENSMUSG00000036104",4246.9811647324,-0.33502092912769,0.0229011091766832,0,1,1
"ENSMUSG00000025933",432.055518125384,-1.53431625152835,0.0850015962963705,-6.28595549741653,3.25843284328903e-10,3.3288595131057e-09
"ENSMUSG00000026240",4127.18953249977,-0.696135782140831,0.0240735599159575,0,1,1
